"","delta","TWFE","TWFE (drops)","Callaway-Sant'Anna","name","se"
"185",-0.025,-0.0240640839219389,-0.0305158115387121,-0.0440450224481573,"Callaway-Sant'Anna SE",0.0126739169665717
"186",-0.025,-0.0194705522406613,-0.0205198383986925,-0.0195565660433957,"TWFE Clustered SE",0.0047436190585212
"187",-0.025,-0.0194705522406613,-0.0205198383986925,-0.0195565660433957,"TWFE Robust SE",0.00440049715089228
"188",-0.025,-0.0194705522406613,-0.0205198383986925,-0.0195565660433957,"TWFE (drops) Clustered SE",0.0037913002840874
"189",-0.025,-0.0194705522406613,-0.0205198383986925,-0.0195565660433957,"TWFE (drops) Robust SE",0.00675204069438633
"190",-0.025,-0.0194705522406613,-0.0205198383986925,-0.0195565660433957,"Callaway-Sant'Anna SE",0.0126782932954718
"191",-0.025,-0.0283178834909754,-0.0241237378997989,-0.026874566647327,"TWFE Clustered SE",0.00352461694775656
"192",-0.025,-0.0283178834909754,-0.0241237378997989,-0.026874566647327,"TWFE Robust SE",0.00439119213723322
"193",-0.025,-0.0283178834909754,-0.0241237378997989,-0.026874566647327,"TWFE (drops) Clustered SE",0.00607880090644549
"194",-0.025,-0.0283178834909754,-0.0241237378997989,-0.026874566647327,"TWFE (drops) Robust SE",0.00673802296072729
"195",-0.025,-0.0283178834909754,-0.0241237378997989,-0.026874566647327,"Callaway-Sant'Anna SE",0.0124657626158869
"196",-0.025,-0.0232394606497298,-0.013773852634976,-0.044510508760875,"TWFE Clustered SE",0.00427551928162365
"197",-0.025,-0.0232394606497298,-0.013773852634976,-0.044510508760875,"TWFE Robust SE",0.00439729865998873
"198",-0.025,-0.0232394606497298,-0.013773852634976,-0.044510508760875,"TWFE (drops) Clustered SE",0.00458707601551207
"199",-0.025,-0.0232394606497298,-0.013773852634976,-0.044510508760875,"TWFE (drops) Robust SE",0.00675444097771299
"200",-0.025,-0.0232394606497298,-0.013773852634976,-0.044510508760875,"Callaway-Sant'Anna SE",0.012679250120208
"201",-0.025,-0.0282640654689788,-0.0311480097393915,-0.020212398294332,"TWFE Clustered SE",0.00352964609503806
"202",-0.025,-0.0282640654689788,-0.0311480097393915,-0.020212398294332,"TWFE Robust SE",0.00438741124647461
"203",-0.025,-0.0282640654689788,-0.0311480097393915,-0.020212398294332,"TWFE (drops) Clustered SE",0.00496412210282865
"204",-0.025,-0.0282640654689788,-0.0311480097393915,-0.020212398294332,"TWFE (drops) Robust SE",0.00673019709049234
"205",-0.025,-0.0282640654689788,-0.0311480097393915,-0.020212398294332,"Callaway-Sant'Anna SE",0.0123504169450419
"206",-0.025,-0.019241059458822,-0.0139168323093197,-0.00290798413736031,"TWFE Clustered SE",0.00511509310838454
"207",-0.025,-0.019241059458822,-0.0139168323093197,-0.00290798413736031,"TWFE Robust SE",0.00438626695548641
"208",-0.025,-0.019241059458822,-0.0139168323093197,-0.00290798413736031,"TWFE (drops) Clustered SE",0.00706335584941599
"209",-0.025,-0.019241059458822,-0.0139168323093197,-0.00290798413736031,"TWFE (drops) Robust SE",0.00672730892382462
"210",-0.025,-0.019241059458822,-0.0139168323093197,-0.00290798413736031,"Callaway-Sant'Anna SE",0.0122600576448278
"211",-0.025,-0.0249929124454626,-0.027953808956788,-0.0353906522771558,"TWFE Clustered SE",0.00455533395889878
"212",-0.025,-0.0249929124454626,-0.027953808956788,-0.0353906522771558,"TWFE Robust SE",0.00439572309436212
"213",-0.025,-0.0249929124454626,-0.027953808956788,-0.0353906522771558,"TWFE (drops) Clustered SE",0.00548694072783862
"214",-0.025,-0.0249929124454626,-0.027953808956788,-0.0353906522771558,"TWFE (drops) Robust SE",0.00673585926064173
"215",-0.025,-0.0249929124454626,-0.027953808956788,-0.0353906522771558,"Callaway-Sant'Anna SE",0.0125355751639258
"216",-0.025,-0.0262006323806876,-0.0275171293623995,-0.0143973421834974,"TWFE Clustered SE",0.00297246908302823
"217",-0.025,-0.0262006323806876,-0.0275171293623995,-0.0143973421834974,"TWFE Robust SE",0.00439234797539367
"218",-0.025,-0.0262006323806876,-0.0275171293623995,-0.0143973421834974,"TWFE (drops) Clustered SE",0.00520737924644419
"219",-0.025,-0.0262006323806876,-0.0275171293623995,-0.0143973421834974,"TWFE (drops) Robust SE",0.00672792209648672
"220",-0.025,-0.0262006323806876,-0.0275171293623995,-0.0143973421834974,"Callaway-Sant'Anna SE",0.0126479819776305
"221",-0.025,-0.0264661557352738,-0.0246287965879261,-0.0129746841961591,"TWFE Clustered SE",0.00417165404565258
"222",-0.025,-0.0264661557352738,-0.0246287965879261,-0.0129746841961591,"TWFE Robust SE",0.00439182133871456
"223",-0.025,-0.0264661557352738,-0.0246287965879261,-0.0129746841961591,"TWFE (drops) Clustered SE",0.00561386270433605
"224",-0.025,-0.0264661557352738,-0.0246287965879261,-0.0129746841961591,"TWFE (drops) Robust SE",0.00673421063561609
"225",-0.025,-0.0264661557352738,-0.0246287965879261,-0.0129746841961591,"Callaway-Sant'Anna SE",0.0124350900597578
"226",-0.025,-0.0319204689582837,-0.0292745086328394,-0.0318209450313289,"TWFE Clustered SE",0.00436176220082952
"227",-0.025,-0.0319204689582837,-0.0292745086328394,-0.0318209450313289,"TWFE Robust SE",0.00438186645396407
"228",-0.025,-0.0319204689582837,-0.0292745086328394,-0.0318209450313289,"TWFE (drops) Clustered SE",0.00514333099642625
